,almanca,turkce
99,mithalten,"yetişmek, ayak uydurmak"
100,Aufmerksamkeit erfordern,dikkat istemek
101,jemandem auf die Schliche kommen,"birinin oyununu görmek, anlamak"
102,absurd,"saçma, akıl almaz"
103,episch,epik
104,die Kulturkritik,kültürel eleştiri
105,langatmig,"aşırı uzun, fazla ayrıntılı"
106,umwerfend,"çok etkileyici, çarpıcı"
107,eine Sache an sich,kendi başına bir sorun
108,jemandem Beachtung schenken,birine dikkat etmek
0,die Ausstattung,"ekipman, teçhizat, donatım"
1,die Durchsage,"duyuru, anons"
2,die Umgangsform,davranış tarzı
3,die Verzögerung,"gecikme, uzama"
4,die Betätigung,"faaliyet, operasyon"
5,der Einsatz,"kullanım, uygulama, bağlılık"
6,die Facette,"yön, taraf"
7,das Flair,atmosfer
8,der Hotelfachmann,otel memuru
9,die Hotelkaufleute,otel görevlileri
10,die Kreuzfahrt,deniz yolculuğu
11,der Page,"Komi, oteldeki misafirlerin valizlerini taşıyan kişi"
12,schwanken,dalgalanmak
13,etwas einen neuen Anstrich geben,yeni bir renk vermek
14,in der Lage sein,"yapabilir olmak, yeteneğe sahip olmak"
15,etwas von der Pike auf lernen,"en küçük ayrıntısına kadar öğrenmek, bastan aşağı öğrenmek"
16,einen neuen Weg einschlagen,yeni bir yola girmek
17,administrativ,idari
18,angehend,"gelecekteki, mustakbel"
19,reizvoll,"çekici, cazibeli"
20,derzeit,"şu anda, şimdilik (der.)"
21,hinter den Kulissen,sahne arkasında
22,das Attest,"doktor raporu, sertifika, onaylama (a.)"
23,das Büfett,büfe
24,der Rücktritt,"istifa, çekilme, ayrılma"
25,die Suite,süit
26,beinhalten,"içermek, kapsamak"
27,stilvoll,şık
28,der Kompromiss,uzlaşma
29,"der Ansicht sein, dass",... görüsünde olmak
30,zur Auswahl stehen,"seçilmeye müsait olmak, seçenek olmak"
31,Freude bereiten,"neşe getirmek, zevk vermek"
32,in Kauf nehmen,"kabul etmek, kabullenmek"
33,Schwierigkeiten bereiten,zorluklara neden olmak
34,zur Sprache kommen,"dile gelmek, ortaya çıkmak"
35,zur Verfügung stehen,hazır olmak
36,zur Verfügung stellen,"tahsis etmek, tedarik etmek (cümle)"
37,das Verständnis vertiefen,anlayışı derinleştirmek
38,Vorbereitungen treffen,"düzenlemeler, hazırlıklar yapmak"
39,in Vordergrund stehen,"önceliğe sahip olmak, ön planda olmak"
40,"es gilt, etwas zu tun",yapılması zorunlu olarak kabul edilir
41,abgelegen,"sapa, uzak"
42,fachkundig,"yetkili, ehil"
43,pauschal,"hepsi beraber, toptan (olarak)"
44,auf eigene Faust,kendi başına
45,das Schlagwort,slogan
46,seine Auswahl treffen,seçimini yapmak
47,eine Entscheidung treffen,"bir karar vermek, bir karara varmak"
48,etwas in Erfahrung bringen,öğrenmek
49,in Erfüllung gehen,"gerçekleşmek, gerçekleşmeye gelmek"
50,sich etwas zur Gewohnheit machen,bir şeyi alışkanlık haline getirmek
51,die Initiative ergreifen,inisiyatif almak
52,über Kenntnisse verfügen,bilgili olmak
53,an jemandem Kritik üben,eleştirmek
54,auf Kritik stoßen,"eleştiri ile karşılaşmak, eleştirilmek"
55,eine Lösung finden,bir çözüm bulmak
56,ein Thema zur Sprache bringen,bir konuyu gündeme getirmek
57,Verantwortung übernehmen,"üstlenmek, sorumluluk almak"
58,der Bogen,"eğri, kemer, yay"
59,der Erzeuger,üretici
60,der Kurpark,spa parkı
61,das Panorama,panorama
62,das Schuhwerk,ayakkabılar
63,das Trio,"üçlü, triyo"
64,der Überrest,artık
65,ausklingen,"solup gitmek, yavaş yavaş ölmek"
66,jemandem etwas nahebringen,"takdim etmek, tanıtmak"
67,verwöhnen,"şımartmak, yüz vermek"
68,auf die Probe stellen,test etmek
69,ausgleichend,denkleştirme
70,hautnah,"sıkı, çok yakın"
71,naturbelassen,"doğal, işlenmemiş"
72,das Andenken,"hatır, hatıra"
73,die Eule,baykuş
74,das Kalkül,"hesaplama, hesaplama yöntemi"
75,das Souvenir,hediyelik eşya
76,das Synonym,eşanlamlı sözcük
77,die Zuneigung,"eğilim, meyil, sempati"
78,erstehen,mal etmek
79,konservieren,"konserve yapmak, korumak"
80,nachvollziehen,kavramak
81,jemandem etwas untersagen,yasaklamak
82,enorm,"muazzam, engin"
83,geistige Umnachtung,sapıtma
84,der Impuls,"dürtü, darbe, nabız"
85,die Internetplattform,internet platformu
86,der Segeltörn,yelken gezisi
87,ausbauen,"genişletmek, uzatmak"
88,liebenswert,"sevimli, şirin"
89,nachhaltig,sürdürülebilir
0,der Bauer (Der Bauer muss einen Anbauplan für das nächste Jahr vorlegen. ),çiftçi
1,"die Eiszeit (Die Landschaften des Puula zeigen noch Spuren der Eiszeit, die vor 10.000 Jahren endete.)",buz devri
2,"die Fähigkeit (Talente sind die Fähigkeiten, die Sie von Geburt an besitzen.)",yetenek (fä.)
3,"die Fertigkeit (Fertigkeiten sind das Wissen, die Fachkenntnisse, die sich jemand angeeignet und bereits in der Praxis angewendet hat)",yetenek
4,die Geschickligkeit (Temperaturschwankungen. Schwindelgefühl. Verminderte Geschicklichkeit und motorische Fähigkeiten.),"beceri, yetenek, yaratıcılık"
5,der Jäger (Es sollte den Jäger des Kalmar angreifen.),avcı
6,"der Krieger (Die Jaffa sagen: "" Erhaben ist der Krieger, der einen Sieg ohne Schlacht erlangt. "")",savaşçı
7,das Mittelalter (Ein Erzähler des Mittelalters könnte das so deuten.),Orta Çağlar
8,der Ritter (Zusammen finden die Ritter das Schwert schon.),şövalye
9,der Sammler (Er arbeitet mit den Sammlern und Vermittlern in seiner Pyramide.),"toplayıcı, kolleksiyoncu"
10,der Siedler (Die Siedler der Narva-Kolonie wurden hohen Strahlendosen ausgesetzt.),"yeni yerleşen, sömürgeci"
11,die Steinzeit (Mit dem Beginn der Steinzeit kam derAufstieg einer neuen Spezies.),Taş Devri
12,die Vorsicht (Königen fehlt die Vorsicht der gemeinen Leute.),dikkat
13,existenziell (Müssen wir wirklich gerade jetzt jede existenzielle Frage beantworten?),varoluşsal
14,der Homo sapiens (Denken Sie an den Triumph des Homo sapiens über den NeandertaIer.),Homosapiens
15,die Kapazität (In dem Bericht wurde die Kapazität der Halle übertrieben.),kapasite
16,die Merkfähigkeit (Das Verständnis wird wiederum die Merkfähigkeit verbessern.),hafızada tutma kabiliyeti
17,"die Spezies (Die Spezies, die am besten flüchten kann.)","Türler, çeşit, cins"
18,"die Verfügbarkeit (Doch die Verfügbarkeit all dieses Wissens macht die Welt weder klüger, noch löst es ihre Probleme)",kullanılabilirlik
19,der Vorfahre (Helfen mir die Vorfahren in der Fabrik und beim Kredit?),ata
20,"das Wesen (Es ist sehr traurig, dass Sie das für das Wesen des Glaubens halten.)","varlık, tabiat (karakter)"
21,"abhängen von (Ich mag meine Freunde, denen ich von abhängen kann.)","bağlı olmak, bağımlı olmak"
22,"beeindrucken (Ich denke ich sollte mir überlegen, welche Art Frauen ich damit beeindrucken will)","etkilemek, izlenim bırakmak"
23,einstellen (Aufgrund seiner Zeugenaussage werde ich das Verfahren einstellen.),"durdurmak, ayarlamak, işe almak"
24,entgegenstehen (Ohne Beweise müssen wir ihren Aktionen entgegenstehen.),"karşı çıkmak, önlemek"
25,"schwinden (Meine Kraft schwindet und mit ihr meine Fähigkeit, Daisy zu verhüllen.)","solmak, gücü azalmak, sararmak"
26,"vererben (Versprich mir, diese prächtige Burg deinem Sohn zu vererben)",miras birakmak
27,abwärtsgehen (Irgendwas war da zerbrochen und es ist langsam und stetig nur noch abwärtsgegangen.),"yokuş aşağı gitmek, batmak"
28,"imstande sein (So müssen die Mitarbeiter imstande sein, die Waren zu sortieren.)","yapabilmek, bir şeyi yapabilecek durumda olmak"
29,"anschaulich (Diese liefern ein anschauliches Beispiel dafür, wie du das anwendest, was du sagst.)","açık, somut"
30,"ausgeprägt (Es wird ausgeprägter, wenn du älter wirst.)","belirgin, göze çarpan"
31,"eigenständig (Wir sahen sehr viele Familien, die eigenständig geworden sind.)","bağımsız, ayrı"
32,"erforderlich (Was ist heute erforderlich, um in Gottes Ruhe einzugehen?)","gerekli, zorunlu, lazım"
33,numerisch (Alle neuen Muster und numerische Überweisungen von allen Beträgen.),"sayısal, sayıca"
34,schlau (Er ist einfach zu schlau.),"akıllı, zeki, kurnaz"
35,allmählich (Unser heutiges Leben wird allmählich in Vergessenheit geraten.),"azar azar, git gide, gittikçe"
36,lediglich (Ich zahle lediglich Schulden ab und halte uns über Wasser.),"sadece, yalnızca"
37,hingehen (Du wirst für mindestens hundert Jahre nirgendwo hingehen),oraya gitmek
38,die Lerneinheit (Das ist das Ziel dieser Lerneinheit.),öğrenme birimi
39,"der Reflex (Erhöht die Reflexe, eliminiert die Angst.)",refleks
40,der Reiz (Der Reiz des komfortablen Lebens in Timgad zeigte seine Wirkung.),cazibe
41,die Rhetorik (Sparen wir uns die Rhetorik und kommen wir zur Sache),"belâgat, söz sanatı"
42,das Symbol (Das Symbol des eigenen Privilegs anzugreifen.),sembol
43,"der Vorsprung (Ich dachte, der Vorsprung würde reichen)","öncelik, avantaj"
44,jemandem etwas abverlangen (Ich muss Ihnen leider einiges abverlangen.),"talep etmek, istemek"
45,sich etwas einprägen (Wir sollten uns drei Punkte besonders einprägen),"ezberlemek, basmak, birinin aklına bir şeyi koymak"
46,fördern (In dieser Region fördert man wertvolle Mineralien.),"teşvik etmek, desteklemek"
47,"stabilisieren (Es wird eine Minute dauern, bis sich sein Kreislauf stabilisiert.)","stabilize etmek, istikrara kavuşturmak"
48,stimulieren (Es stimuliert elektrische Hirnaktivität.),"uyarmak, canlandırmak,"
49,"versäumen (Diese Brüder denken nicht einmal daran, die Zusammenkünfte zu versäumen!)","kaçırmak, ihmal etmek"
50,zuordnen (Können sie mich nicht etwas besserem zuordnen?),"eşleştirmek, tahsis etmek"
51,"sich sträuben (Sag mir, hat sie sich gegen dich gesträubt?)","dayanmak, direnmek, (saçı)diken diken olmak"
52,"sich mit etwas vertraut machen (Warum nicht am Studierabend etwas Zeit damit verbringen, sich mit den neuen Liedern für die Woche vertraut zu machen?)",alışmak
53,"großflächig (Ziemlich großflächiger Gewebeschaden vom Bruch, aber kaum innere Blutungen.)","geniş, yaygın, büyük, bol bol"
54,neulich (Der Film von neulich ist mir jetzt abgesagt worden.),"son zamanlarda, geçenlerde"
55,unbekannt (das ist mir nicht ganz unbekannt),"tanınmayan, bilinmeyen, meçhul"
56,"der Alzheimer (Ein Bewohner, der Alzheimer haben soll,..... wirkt sehr rüstig.)",Alzheimer hastalığı
57,das Gehirn (Das Gehirn und doch nicht das Gehirn.),beyin
58,"über eine Sache schlafen (Danach schlafen wir, gehen ins Kino, gehen in ein Restaurant, und werden nie wieder über die Sache sprechen.)","yastığına danışmak, karar vermeden önce bir gece düşün"
59,"umsetzen (Was Sie sagten, was aus ihnen würde, wenn wir nicht versuchten, das umzusetzen)","uygulamak, başka bir yere koymak"
60,unterschätzen (Es ist eine unterschätzte Stadt.),"küçümsemek, küçük görmek,değeri bilinmemek"
61,angespannt (Die Atmosphäre wurde immer angespannter und ich war ziemlich nervös.),"gergin, kaygılı"
62,der Vorsatz (Vielleicht ist das der Vorsatz den wir heute fassen sollten.),"niyet, maksat, çözüm"
63,der Betriebsrat (Melden Sie es dem Betriebsrat.),"iş konseyi, işçi temsilciliği"
64,die Eignung (Fehlt uns deswegen die Eignung?),"uygunluk, elverişlilik, yetenek(lilik)"
65,die Empathie (Sie müssen die Gabe der Empathie in Ihre Kraft lenken.),empati
66,"sich auseinandersetzen mit (Sie fragen nur, damit du ""gut"" sagst und sich nicht weiter mit dir auseinandersetzen müssen.)","karşı koymak, tartışmak, yüzleşmek"
67,"sich erweisen als (Was ich als Mut in dir erachtete, erweist sich als Dummheit.)",olduğu ortaya çıktı
68,"festhalten (Könnten Sie die Tür festhalten, bitte?)","(sıkı) tutmak, tutunmak, alıkoymak"
69,"etwas gelten lassen (Wenn du etwas unbedingt willst, lass ein Nein nicht gelten!)",kabul etmek
70,optimieren (Ich muss mein System optimieren.),optimize etmek
71,Gewicht legen auf (Größeres Gewicht legte man außerdem auf die Nacharbeit und auf Bibelstudien.),bir şeye önem vermek
72,"seinen Standpunkt vertreten (Glaubst du, der Herr mußte sterben, um seinen Standpunkt zu vertreten?)","bakış açısını temsil etmek, duruş sergilemek"
73,"von Vorteil sein (Denn das Licht, das für die Kunst von Vorteil ist, kann auch von Nachteil sein)",avantajlı olmak
74,etwas im Visier haben (Sie haben uns im Visier.),gözlemek
75,"adäquat (Ich möchte nicht, dass das Haus nicht adäquat repräsentiert wird.)","yeterli, uygun"
76,"aufwendig (Wie sieht es aus, wenn es sich eine große, aufwendige Hochzeitsfeier leisten kann?)",çok masraflı
77,"intellektuell (Ein Intellektueller, der seine Ideen der Geliebten erklären kan)","entelektüel, aydın"
78,"renommiert (Es war ein harter Wettbewerb, in diese renommierte Schule aufgenommen zu werden.)","ünlü, meşhur"
79,standardisieren (Zahllose Dinge in unserer Umgebung sind standardisiert.),"standardize etmek, standartlaştırmak"
80,alles in allem (Alles in allem kann man festhalten: Nicht alle Religionen führen zu Gott),"tümüyle, genellikle, hepsi bir arada"
81,die Antike (Das Wagenrennen genoss von allen Wettkampfarten in der Antike das größte Ansehen),"antika, eskiçağ"
82,die Belehrung (Die Belehrung des Menschen durch seinen himmlischen Vater war noch nicht abgeschlossen.),"öğrenim, bilgi, yönerge"
83,"die Verfremdung (Er sah dies als die Tragik des Kapitalismus, die Verfremdung des Arbeiters vom Produkt seiner Arbeit.)",yabancılaştırma
84,"die Fabel (Es scheint, sie kennt nicht die Fabel von der Geduld.)","masal, kıssa"
85,der Fuchs (Der Fuchs hat das Kaninchen erwischt?),tilki
86,"die Moral (Denk an die Moral der Männer, nicht nur an deine eigene.)","moral, etik"
87,jemandem schmeicheln (Versuch nicht mir zu schmeicheln),"pohpohlamak, tatlı söz ile kandırmak"
88,"jemandem überlegen sein (Das würde nämlich zeigen, dass ich ihm überlegen bin.)","üstün olmak, geçmek, üstünlük sağlamak"
89,jemandem etwas zuschreiben (Würde er das auch noch dem Zufall zuschreiben?),"atfetmek, birinin bir hareketini neden olarak göstermek, birine bir şeyi isnat etmek"
90,jemandem einen Spiegel vorhalten (Wir mussten uns selbst einen Spiegel vorhalten.),birine ayna tutmak
91,eitel (In dieser Geschichte herrscht also nicht immer eitel Sonnenschein),"kendini beğenmiş, boş, kurumlu"
92,"einfältig (Du bist so einfältig, wenn du deinen Willen nicht durchsetzen kannst.)","safdil, kolay inanan"
93,empört (ich bin empört!),"kızgın, öfkeli, içerlemiş"
94,gemein (Du bist ein echt gemeiner Kerl.),"alçak, adi, bayağı"
95,gutmütig (Manchmal ist Eddie ein bischen zu Gutmütig.),"iyi huylu veya hoşgörülü, iyi kalpli"
96,listig (Du bist ein listiger kleiner Junge),kurnaz
97,"naiv (Ich dachte immer, du bist so wunderbar naiv.)","saf, bön, budala"
98,"töricht (Wir aber sind hier, um uns gegen solch törichte Leidenschaft zu wappnen.)","ahmak, aptalca, akılsız"
99,"weise (Diese Erfahrung zeigt treffend, dass es nicht immer leicht ist, weise Entscheidungen zu treffen.)","bilge, akıllı"
100,die Requisite (Unser Entführer hatte also Zugang zu den Requisiten und der Garderobe im Studio.),"aksesuar, sahne elbisesi"
101,unmittelbar (Nichts ändert sich unmittelbar.),"doğrudan doğruya, hemen, doğruca"
0,"die Balance (Wer scheint mir im Nötigen die bessere Balance zu halten, wer scheint auch in sich selbst ausgeglichener?)",denge
1,"die Berufung (Nur solche Professoren haben bei der Berufung eine Chance, die den anderen nicht gefährlich werden können.)","atanma, tayin"
2,"hineinschnuppern (Er hat es schnell gelernt, hat auch immer stärker in den Vertrieb hineingeschnuppert.)","içine dalmak, kısa zamanda öğrenmek"
3,"schuften (Die Arbeiter schufteten die ganze Nacht, um den Auftrag fertigzustellen.)",ölesiye çalışmak
4,"die Ambition (Wie steht es um Ihre Ambitionen, mit Frankreich bei der WM zu spielen?)","hırs, ihtiras"
5,das Labyrinth (Trotz Stadtplanes verliert man sich leicht im Labyrinth zwischen schmalen weißgetünchten Häusern.),labirent
6,"die Renaissance (Und er hält den Zeitpunkt für gekommen, bestimmten Werten zu einer Renaissance zu verhelfen.)",Rönesans
7,"die Spitzenkraft (Die Spitzenkraft ist die größte Kraft, die während des Arbeitszyklus erreicht wird. )","üst düzey yönetici, zirve kuvvet"
8,der Universalist (Immer wieder gibt sich der Künstler als romantischer Universalist zu erkennen.),"evrenselci, çok yetenekli"
9,"der Wert (Auf Pünktlichkeit wird in Österreich, Deutschland und der Schweiz großen Wert gelegt.)",değer
10,ausrichten (Nach dem Meeting richteten wir die Stuhlreihen wieder aus.),"doğrultmak, sıraya sokmak, dizmek"
11,"ausrichten nach (Das bedeutet, dass sich alle weiteren Servos in dieser Gruppe nach diesem Hauptservo ausrichten, wenn die Synchronisation durchgeführt oder...)",yönelmek
12,"ausloten (Alles scheint wie neu ausgelotet bei diesem Quintett, es ist offenkundig auf einer Mission.)","iyice araştırmak, sondalamak"
13,nach streben (Jeder Schriftsteller strebt nach Ruhm.),emel beslemek
14,"sich widmen (Die Disziplinen, denen er sich widmen will, sind ihm wenigstens von der Schule her so weit vertraut, daß er weiß, womit er sich beschäftigen wird.)",kendini adamak
15,"brachliegen (Doch die frei werdende Fläche bleibt keineswegs brachliegen, sie wandert zum besseren Wirt.)","dinlendirmek, nadasa bırakmak"
16,"Macht es Ihnen etwas aus, wenn...? (Hey, macht es dir etwas aus, wenn ich mich heute Abend in deinem Büro für meinen Fernsehbericht umziehe?)",Sakıncası var mi?
17,"das Risiko begrenzen (Um das Risiko zu begrenzen, ist es zwingend nötig, die weiteren Beziehungen mit China weiter so transparent wie möglich zu gestalten.)",riski sınırlamak
18,"mit sich selbst im Reinen sein (Man kann nur dann ein gutes Leben haben, wenn es einem gelingt, mit sich selbst im Reinen zu sein.)",kendinle barış içinde olmak
19,jemandem über die Schulter sehen (Ich kann am Strand entlanglaufen und muss nicht ständig über die Schulter sehen.),omuz üzerinden bakmak (devamlı tetikte olmak)
20,erfüllend (Ich finde meinen Job höchst erfüllend.),tatmin edici
21,rational (Über allem aber waltet die rational zügelnde Kontrolle eines hoch entwickelten musikalischen Bewusstseins.),akılcı
22,simultan (Eine künstliche Darstellung überlagert dabei simultan die erlebte Wirklichkeit des Nutzers.),eşzamanlı
23,das Betriebsklima (Ich mag das offene Betriebsklima - mit einem Mann als Chef arbeitet es sich nicht so entspannt.),çalışma ortamı
24,"der Einwand (Wohl gemerkt, das soll kein Einwand sein gegen die einzelne Arbeiten.)","itiraz, tartışma"
25,die Honorierung (Eine solche Honorierung ist auch für aktive Leistungen der Landwirte im Klimaschutz und im Tierschutz zu entwickeln.),ödül
26,das Mitspracherecht (Aber biologische Väter haben keinerlei Mitspracherecht über ihr elterliches Schicksal.),"söz hakkı, ses"
27,der Spaßfaktor (Der Spaßfaktor sollte beim Fliegen ganz im Vordergrund stehen.),eğlence faktör
28,"das Start-up-Unternehmen (Prozent der Start-up-Unternehmen in der EU wurden von Personen gegründet, die arbeitslos waren.)",Start-up şirketi
29,"der Umgangston (Nochmals vielen Dank an die parlamentarischen Fraktionen für ihre Unterstützung, ihren Umgangston und ihre konstruktive Einstellung.)",konuşma tonu
30,düster (Einige dieser Abenteuer sind ein bisschen düster oder negativ.),kasvetli
31,die Abgabe (Vorrichtung zur Abgabe systemischer Wirkstoffe an Pflanzen und Verwendung derselben.),"ücret, katkı payı, geçiş ücreti"
32,die Anzeige (Diese Einstellungen werden ebenfalls für die Anzeige des LCD-Monitors verwendet.),duyuru
33,der Berufseinsteiger (Damit auch die Anforderungen an Berufseinsteiger.),"işe başlayan, kariyer sahibi"
34,das Gewerbe (Nichttarifäre Handelshemmnisse in der Landwirtschaft und im Verarbeitenden Gewerbe werden nicht berücksichtigt.),"ticaret, sanayi, meslek, sanat"
35,"die Lohnsteuer (Der Eingangssteuersatz liegt bei 10 %, Der Grundsteuersatz bei 22 % und der Höchstsatz der Lohnsteuer bei 44 %.)",bordro vergisi
36,die Migration (Während einer Migration werden riesige Datenmengen über das Netzwerk übertragen.),göç
37,der Minijobber (Werkstudenten oder Minijobber als Kundendienstmitarbeiter Inbound (m/w)),part-time çalışan
38,"die Sozialabgabe (Selbstverständlich würde niemand daran denken, die Nutzung von Digitalkameras zu verbieten oder eine Sozialabgabe auf deren Preis aufzuschlagen.)",sosyal sigorta primi
39,"zutreffen (Projektarbeitspakete löschen: Arbeitspakete können gelöscht werden, wenn bestimmte Bedingungen nicht zutreffen.)","doğru olmak, hak kazanmak, uygulamak"
40,geringfügig (Gus und Ich haben geringfügig schwerwiegendere Probleme im Moment.),hafifçe
41,die Abrechnung (Hinweis: Für die Abrechnung und die Bankkontodaten wird Ihr englischer Mitgliedsname verwendet.),"faturalandırma, uzlaştırma, kesinti"
42,der Abzug (Dieser Abzug verhinderte eine Doppelerfassung dieser Verkaufsmengen beim Gesamtverbrauch.),"ıskonto, kesinti"
43,"die Aushilfe (Ich bin Dexter, die von Ihnen angeforderte Aushilfe.)","geçici işçi, yardımcı işçi"
44,das Bruttoeinkommen (Was bleibt von Ihrem Bruttoeinkommen in Deutschland nach dem Steuerabzug übrig.),brüt gelir
45,das Entgelt (Bei Langstreckenflügen beträgt das Entgelt 80 EUR pro Strecke.),"karşılık, bedel, ücret"
46,die Fachkraft (Die Diagnose darf nur durch eine geschulte medizinische Fachkraft gestellt werden.),"uzman, yetenekli çalışan"
47,"der Freiberufler (Die Killer, die sind gewöhnlich Freiberufler.)",serbest çalışan
48,"die Gehaltsabrechnung (Wählen Sie die Lohn- und Gehaltsabrechnung, für die Sie Zahlungsanweisungsdaten erstellen möchten.)",maaş bordrosu
49,"die Gehaltserhöhung (Die Kommission hatte im November 2009 eine Gehaltserhöhung um 3,7 % vorgeschlagen.)",maaş artışı
50,der Gehaltszettel (Ich brauche ihre Gehaltszettel für die letzten zwei Jahre.),"makbuz, maaş bordrosu"
51,das Honorar (Mein Honorar wurde vor drei Jahren gestrichen.),ücret
52,"die Kirchensteuer (Die Kirchen erheben eine Kirchensteuer, die vom Staat eingezogen wird, um soziale Dienste zu finanzieren.)",kilise vergisi
53,der Nettolohn (Mein Nettolohn erlaubt mir so eine Robin-Hood-Sache ganz sicher nicht.),net maaş
54,"die Pflegeversicherung (Die Folge ist, dass der Grenzgänger in seinem Wohnsitzland keinen Anspruch mehr auf die Pflegeversicherung erheben kann.)",bakım sigortası
55,der Posten (Mir wurde ein Posten in einer aufstrebenden Internet-Firma angeboten.),"ürün, parti, görev"
56,das Repertoire (Zudem ist er ein angesehener Konzertsänger mit breiten Repertoire.),repertuar
57,"der Solidaritätszuschlag (Außerdem wird ein Solidaritätszuschlag in Höhe von 5,5% Ihrer Einkommensteuer erhoben.)",dayanışma vergisi
58,der Stundenlohn (Der durchschnittliche Stundenlohn beträgt 72 Reichspfennig.),saat ücreti
59,der Zuschlag (Erteilen Sie den Zuschlag für die nächste Position wie oben beschrieben.),"ek ücret, ihale, zam, ücret farkı"
60,"jemanden binden an (Wir müssen sicherstellen, dass diese Dinge in einer Ehe stimmen, bevor wir uns für immer an jemanden binden.)",birini bir şeye bağlamak
61,"einprägen (Er konnte gar nicht mehr anders, als sich das alles einzuprägen.)","basmak, iz bırakmak, birinin aklına bir şeyi koymak"
